rep16_frac2,dem16_frac2,dem08_frac2,dem12_frac2,rep08_frac2,rep12_frac2,LessThanHighSchool,AtLeastHighSchoolDiploma,AtLeastBachelorsDegree,MedianEarnings2010dollars,PovertyRatebelowfederalpovertythreshold,Managementprofessionalandrelatedoccupations,Serviceoccupations,Salesandofficeoccupations,Farmingfishingandforestryoccupations,Constructionextractionmaintenanceandrepairoccupations,Productiontransportationandmaterialmovingoccupations,Uninsured,Unemployment
0.809096535,0.190903465,0.260972717,0.269487413,0.739027284,0.730512587,28.6,71.4,9.5,27404.52222,18.25,23,11.95,17.65,3.15,15.9,28.35,0.192,0.093
0.760611028,0.239388972,0.229971567,0.219167751,0.770028433,0.780832249,8.5,91.5,39.6,37336.9181,6.9,42.5,11.6,29.35,0.05,9.1,7.45,0.121,0.05
0.852511371,0.147488629,0.240108288,0.221207719,0.759891712,0.778792281,26.6,73.4,10.5,26915.90349,16.1,24.6,15.55,20.25,1.4,13.25,25,0.172,0.071
0.462850157,0.537149843,0.525629505,0.53016491,0.474370495,0.46983509,13.4,86.6,28.8,29249.71302,15.35,35.45,15.65,28.8,0.1,8.35,11.7,0.151,0.068
0.755266744,0.244733257,0.28780105,0.279837148,0.71219895,0.720162852,19.6,80.4,20.8,27180.95556,13.15,31.4,14.3,23.15,0.95,11.05,19.15,0.164,0.062
0.310800645,0.689199355,0.672921478,0.699138756,0.327078522,0.300861244,23.2,76.8,14.3,21582.38032,31.9,25.55,15.75,22,1.15,9.3,26.25,0.159,0.137
0.250158228,0.749841772,0.752537527,0.773654917,0.247462473,0.226345084,24.6,75.4,12.8,17046.56794,37.5,20.2,17.25,25.8,1.85,7,27.9,0.179,0.116
0.713108696,0.286891304,0.335524424,0.338749481,0.664475576,0.661250519,21.5,78.5,16.1,24610.49683,18.5,28.3,15.75,23.55,0.45,11.65,20.3,0.169,0.076
0.76925609,0.230743911,0.2784067,0.275220152,0.7215933,0.724779849,19.2,80.8,19.1,25015.04635,15.2,28.55,14.85,25,0.45,10.7,20.5,0.185,0.07
0.867525459,0.132474541,0.184745909,0.181826289,0.815254091,0.818173711,27.7,72.3,8,20403.67143,16.2,23.35,15.5,22.9,1.45,16.35,20.5,0.184,0.069
0.76602413,0.23397587,0.243588239,0.254324424,0.756411761,0.745675576,16.2,83.8,20.2,28575.60286,12.75,32.65,14.5,26.1,0.15,12.4,14.2,0.14,0.068
0.571021089,0.428978911,0.455978472,0.453548168,0.544021528,0.546451832,17.7,82.3,19.8,25380.29143,19.15,29.5,17.05,26.9,0.7,11.9,14,0.186,0.084
0.263983115,0.736016885,0.750757785,0.765960283,0.249242216,0.234039717,26.6,73.4,12.7,21425.47334,26.55,18.75,17.6,24.7,1.05,11.7,26.15,0.174,0.141
0.756367403,0.243632597,0.306109952,0.305320392,0.693890048,0.694679608,18.8,81.2,15.8,25186.66159,16.55,29.45,16.7,23.35,0.55,10.65,19.35,0.169,0.072
0.399295066,0.600704935,0.60889758,0.627653405,0.39110242,0.372346596,30.1,69.9,10,20564.3054,25.15,22.7,18.25,18.55,3.35,11.35,25.8,0.191,0.099
0.75401782,0.24598218,0.259320735,0.268006065,0.740679265,0.731993935,14.7,85.3,21.7,30043.21365,10.45,29.4,16.35,28.9,0.5,11.2,13.55,0.139,0.065
0.893491124,0.106508876,0.182957394,0.155534198,0.817042607,0.844465802,29.7,70.3,8.4,21506.56953,16.75,23.6,15.6,19.65,2.45,17.2,21.55,0.167,0.069
0.366404959,0.633595041,0.596619864,0.622035753,0.403380136,0.377964247,15.3,84.7,30.5,26278.64921,18.35,35.6,17.6,26.35,0.3,6.85,13.3,0.165,0.077
0.710962195,0.289037805,0.350807858,0.353920331,0.649192142,0.646079669,23.9,76.1,15,24738.47397,15.35,24,17.75,24.95,2.4,10.55,20.25,0.174,0.073
0.52835879,0.47164121,0.492692208,0.51579131,0.507307792,0.48420869,28.1,71.9,13.5,20663.4527,24.85,26.15,14.9,20.1,2.05,8.95,27.9,0.189,0.112
0.785953177,0.214046823,0.349447712,0.298303151,0.650552288,0.701696849,19.6,80.4,12.5,20031.42286,21,26.85,16.05,20.9,4,12.05,20.15,0.224,0.099
0.462337035,0.537662965,0.562390543,0.563032957,0.437609457,0.436967043,27.5,72.5,13.6,21728.94318,28.8,30.2,15.5,19.75,5.3,5.9,23.35,0.203,0.105
0.765113105,0.234886896,0.278256838,0.257730404,0.721743162,0.742269596,18.1,81.9,20.1,20399.16762,18.05,26,18.25,26.4,1.2,9.25,19,0.211,0.071
0.621551724,0.378448276,0.426179604,0.404409713,0.573820396,0.595590288,30.6,69.4,12.7,20262.50762,32.65,24.75,12.35,19,4.9,8.25,30.75,0.256,0.101
0.72214349,0.27785651,0.372966861,0.350507916,0.627033139,0.649492084,18.7,81.3,12.5,22191.26667,13.25,25.8,17.95,24.1,0.5,12.25,19.4,0.194,0.065
0.645952794,0.354047206,0.401658163,0.399654209,0.598341837,0.600345791,17.3,82.7,13.8,23325.0381,16.85,27.4,15.5,20.75,1.15,14.2,21.05,0.194,0.076
0.679596202,0.320403798,0.372132759,0.346677382,0.627867241,0.653322618,15,85,20.2,21599.10191,16.8,29.65,20,27.3,0.45,11.5,11.1,0.23,0.075
0.77673546,0.22326454,0.334681811,0.295626916,0.665318189,0.704373084,19,81,13.2,19581.70476,20.25,20.8,19.65,17,1.6,16.55,24.3,0.22,0.089
0.453821552,0.546178448,0.574527253,0.575492872,0.425472748,0.424507128,23.7,76.3,14.2,25154.54762,26.8,26.75,17,26.05,0.75,10.45,18.95,0.183,0.112
0.685329122,0.314670878,0.313357061,0.292901322,0.686642939,0.707098678,15.8,84.2,25.9,28224.44762,11.45,33.3,13.7,26.6,0.6,10.45,15.3,0.189,0.057
0.555848942,0.444151058,0.433252717,0.4156999,0.566747283,0.5843001,18.3,81.7,27.4,24468.03937,17.15,33.55,16.3,25.5,0.55,9.45,14.7,0.233,0.054
0.788178506,0.211821495,0.262872629,0.243733147,0.737127371,0.756266853,22.6,77.4,13,23947.96603,18.8,26.4,14.5,23.5,1.1,10.75,23.75,0.205,0.074
0.689129874,0.310870127,0.355046528,0.370049185,0.644953472,0.629950815,18.9,81.1,13.7,23077.55302,19.4,24.5,15.55,22.3,3.3,10.15,24.2,0.193,0.125
0.730198171,0.269801829,0.290663064,0.28078635,0.709336936,0.71921365,12.4,87.6,22.6,28959.83143,10.15,31.75,12.95,31.25,0.3,11.9,11.9,0.161,0.06
0.785335413,0.214664587,0.297611465,0.271511719,0.702388535,0.728488281,17.4,82.6,11.6,21511.12921,18.9,24.95,17.8,21.6,1.45,11.85,22.35,0.197,0.067
0.725491456,0.274508544,0.329387092,0.298414795,0.670612908,0.701585205,17,83,12.7,24915.33302,18.1,24.7,17.4,25.1,0.65,14.65,17.55,0.187,0.067
0.662260588,0.337739412,0.404925409,0.393211921,0.595074592,0.60678808,26.8,73.2,8.6,22538.90095,25.1,24.1,20,20,3.55,13.1,19.25,0.203,0.091
0.77877564,0.22122436,0.337218297,0.274231177,0.662781703,0.725768823,16.3,83.7,14.5,20558.96603,15.35,28.25,18.15,25.75,0.75,10.9,16.15,0.204,0.077
0.821596244,0.178403756,0.285377359,0.230124392,0.714622642,0.769875608,22.8,77.2,12.4,22028.65905,19.3,22.7,15.1,17.5,5.3,17,22.35,0.244,0.087
0.673271414,0.326728586,0.414460094,0.405457712,0.585539906,0.594542288,27.7,72.3,7,19088.79715,27.55,22.4,17.9,24.5,2.85,9.75,22.55,0.205,0.096
0.774383302,0.225616698,0.311379579,0.264224474,0.688620421,0.735775526,24.2,75.8,10.4,16180.56794,24.15,25.65,18.85,21.15,3.35,9.65,21.3,0.241,0.097
0.649364094,0.350635907,0.401708205,0.365521327,0.598291795,0.634478673,19.3,80.7,14.7,22326.54826,23.2,23.15,18.3,18.8,1.6,10.1,28.05,0.237,0.072
0.667582103,0.332417897,0.370935338,0.337629824,0.629064663,0.662370176,12.6,87.4,26.4,23449.91016,15.6,33.8,17.55,23.6,0.35,12,12.8,0.172,0.066
